Img_Name,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
imageee529,0.0,2629.124,2810.5925,3838.5276,0.0,2801.1436,0.0,2737.2288,2746.2058,2680.2266
imageee2527,0.0,3385.0874,3661.2207,4955.5854,0.0,3616.3958,0.0,3595.3762,3552.2517,3474.3853
imageee873,0.0,3263.617,3549.8506,4799.1553,0.0,3524.6614,0.0,3313.6316,3435.7615,3326.668
imageee814,0.0,2304.6921,2502.3386,3384.4758,0.0,2503.4954,0.0,2456.7515,2399.319,2353.3638
imageee2742,0.0,3290.365,3531.7263,4767.626,0.0,3520.0967,0.0,3535.083,3436.0774,3329.9053
imageee3915,0.0,3008.9644,3253.0234,4413.3257,0.0,3247.124,0.0,3145.9937,3154.9846,3059.862
imageee115,0.0,3418.0447,3666.3728,5007.676,0.0,3671.8489,0.0,3480.1008,3572.9675,3455.1743
imageee2531,0.0,2169.8252,2318.3,3135.2837,0.0,2308.039,0.0,2316.6597,2274.1836,2216.2446
imageee1672,0.0,2933.9,3164.6467,4334.382,0.0,3191.6545,0.0,3064.3328,3096.3135,2999.573
imageee2137,0.0,2513.6855,2735.2622,3702.2102,0.0,2734.1624,0.0,2593.3647,2632.9563,2561.9358
imageee4203,0.0,2595.8718,2804.4475,3824.5647,0.0,2816.5703,0.0,2712.9355,2734.9226,2667.4202
imageee3846,0.0,3186.7769,3450.9653,4686.807,0.0,3426.1548,0.0,3294.325,3313.09,3230.6675
imageee4096,0.0,2500.4084,2665.0693,3649.9148,0.0,2676.9688,0.0,2729.0847,2614.1746,2545.0205
imageee3722,0.0,2744.6885,2994.8333,4062.1023,0.0,2965.0068,0.0,2786.9375,2875.0132,2794.629
imageee856,0.0,2623.5867,2837.963,3815.8813,0.0,2819.6829,0.0,2751.6135,2702.557,2657.2769
imageee3542,0.0,3876.6738,4158.899,5667.811,0.0,4158.345,0.0,4056.5498,4043.918,3953.8376
imageee2837,0.0,2666.9766,2877.0122,3924.3538,0.0,2878.3552,0.0,2828.5908,2805.207,2709.6519
imageee4910,0.0,2967.5986,3197.4697,4348.2773,0.0,3169.0483,0.0,3014.5886,3098.7737,2996.4875
imageee2967,0.0,2786.4128,2964.9373,4031.5862,0.0,2979.4592,0.0,2943.443,2886.8926,2841.9976
imageee108,0.0,4269.4443,4579.1743,6230.9243,0.0,4554.812,0.0,4490.45,4456.2764,4351.4653
imageee3903,0.0,1644.5723,1759.1311,2416.5046,0.0,1761.7817,0.0,1672.6979,1719.4344,1668.5646
imageee3495,0.0,2985.4204,3240.797,4399.848,0.0,3229.8147,0.0,3130.9385,3118.887,3032.0088
imageee1651,0.0,2656.1194,2865.7454,3915.8354,0.0,2876.453,0.0,2755.7288,2782.2407,2694.3071
imageee4031,0.0,2196.195,2408.7063,3243.585,0.0,2397.8167,0.0,2275.7266,2298.8196,2226.577
imageee3750,0.0,2110.2244,2288.868,3102.9185,0.0,2284.7275,0.0,2209.2402,2200.5015,2157.0469
imageee2737,0.0,3561.8904,3816.8496,5224.5825,0.0,3830.7783,0.0,3640.7227,3725.3264,3619.1384
imageee589,0.0,2518.231,2778.8672,3754.4094,0.0,2763.8342,0.0,2646.9727,2662.804,2564.2334
imageee2196,0.0,2579.1255,2766.9514,3753.5874,0.0,2758.3594,0.0,2710.937,2671.8398,2622.0
imageee4404,0.0,1908.2452,2055.4604,2814.883,0.0,2038.6375,0.0,1984.1086,2030.42,1963.4717
imageee1477,0.0,2471.1921,2645.8567,3594.628,0.0,2636.144,0.0,2653.4688,2584.7854,2509.4043
imageee700,0.0,2551.2075,2798.0188,3781.4148,0.0,2775.2979,0.0,2671.1477,2699.0508,2594.233
imageee4238,0.0,2507.1226,2732.0767,3746.2935,0.0,2720.0225,0.0,2556.554,2645.7844,2559.6038
